team,team,points_overall,goals_for_overall,goals_against_overall,goal_diff_overall,wins_overall,draws_overall,losses_overall,matches_played_overall,xg_overall,xga_overall,points_per_game,goals_per_game,goals_against_per_game,xg_per_game,xga_per_game,xg_efficiency,win_rate,draw_rate,loss_rate,data_extraction_timestamp,season
Bayern Munich,Bayern Munich,15,22,3,19,5,0,0,5,14.7,2.9,3.0,4.4,0.6,2.94,0.58,1.4965986394557824,1.0,0.0,0.0,2025-10-04 20:59:55.796287,2025-2026
Dortmund,Dortmund,13,11,3,8,4,1,0,5,9.2,4.0,2.6,2.2,0.6,1.8399999999999999,0.8,1.1956521739130437,0.8,0.2,0.0,2025-10-04 20:59:55.796287,2025-2026
RB Leipzig,RB Leipzig,12,7,7,0,4,0,1,5,10.0,8.4,2.4,1.4,1.4,2.0,1.6800000000000002,0.7,0.8,0.0,0.2,2025-10-04 20:59:55.796287,2025-2026
Köln,Köln,10,11,9,2,3,1,2,6,9.0,10.1,1.6666666666666667,1.8333333333333333,1.5,1.5,1.6833333333333333,1.2222222222222223,0.5,0.16666666666666666,0.3333333333333333,2025-10-04 20:59:55.796287,2025-2026
Eint Frankfurt,Eint Frankfurt,9,17,13,4,3,0,2,5,9.8,7.3,1.8,3.4,2.6,1.9600000000000002,1.46,1.7346938775510203,0.6,0.0,0.4,2025-10-04 20:59:55.796287,2025-2026
Stuttgart,Stuttgart,9,7,6,1,3,0,2,5,6.9,5.7,1.8,1.4,1.2,1.3800000000000001,1.1400000000000001,1.0144927536231882,0.6,0.0,0.4,2025-10-04 20:59:55.796287,2025-2026
Leverkusen,Leverkusen,8,10,8,2,2,2,1,5,7.2,5.5,1.6,2.0,1.6,1.44,1.1,1.3888888888888888,0.4,0.4,0.2,2025-10-04 20:59:55.796287,2025-2026
Freiburg,Freiburg,7,9,9,0,2,1,2,5,8.5,7.5,1.4,1.8,1.8,1.7,1.5,1.0588235294117647,0.4,0.2,0.4,2025-10-04 20:59:55.796287,2025-2026
St. Pauli,St. Pauli,7,8,8,0,2,1,2,5,6.2,5.7,1.4,1.6,1.6,1.24,1.1400000000000001,1.2903225806451613,0.4,0.2,0.4,2025-10-04 20:59:55.796287,2025-2026
Hoffenheim,Hoffenheim,7,9,12,-3,2,1,3,6,9.0,10.2,1.1666666666666667,1.5,2.0,1.5,1.7,1.0,0.3333333333333333,0.16666666666666666,0.5,2025-10-04 20:59:55.796287,2025-2026
Union Berlin,Union Berlin,7,8,11,-3,2,1,2,5,7.0,9.8,1.4,1.6,2.2,1.4,1.9600000000000002,1.1428571428571428,0.4,0.2,0.4,2025-10-04 20:59:55.796287,2025-2026
Wolfsburg,Wolfsburg,5,7,7,0,1,2,2,5,8.3,7.6,1.0,1.4,1.4,1.6600000000000001,1.52,0.8433734939759036,0.2,0.4,0.4,2025-10-04 20:59:55.796287,2025-2026
Hamburger SV,Hamburger SV,5,2,8,-6,1,2,2,5,4.5,9.2,1.0,0.4,1.6,0.9,1.8399999999999999,0.4444444444444444,0.2,0.4,0.4,2025-10-04 20:59:55.796287,2025-2026
Mainz 05,Mainz 05,4,5,6,-1,1,1,3,5,7.4,6.3,0.8,1.0,1.2,1.48,1.26,0.6756756756756757,0.2,0.2,0.6,2025-10-04 20:59:55.796287,2025-2026
Werder Bremen,Werder Bremen,4,8,14,-6,1,1,3,5,6.8,12.1,0.8,1.6,2.8,1.3599999999999999,2.42,1.1764705882352942,0.2,0.2,0.6,2025-10-04 20:59:55.796287,2025-2026
Augsburg,Augsburg,3,8,12,-4,1,0,4,5,4.5,12.2,0.6,1.6,2.4,0.9,2.44,1.7777777777777777,0.2,0.0,0.8,2025-10-04 20:59:55.796287,2025-2026
Heidenheim,Heidenheim,3,4,10,-6,1,0,4,5,6.2,10.2,0.6,0.8,2.0,1.24,2.04,0.6451612903225806,0.2,0.0,0.8,2025-10-04 20:59:55.796287,2025-2026
Gladbach,Gladbach,2,5,12,-7,0,2,3,5,6.9,7.5,0.4,1.0,2.4,1.3800000000000001,1.5,0.7246376811594203,0.0,0.4,0.6,2025-10-04 20:59:55.796287,2025-2026
